"",ML5,ML6,ML1,ML7,ML3,ML2,ML4
Urinary_incontinence,0,0.506,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.492,0.451,0,0,0,0
Chronic_ulcer_of_skin,0,0.482,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.408,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.352,0,0.317,0,0,0
Cataract,0,0.335,0,0,0.307,0,0
Chronic_kidney_disease,0.383,0.328,0,0,0,0,0
Cardiac_dysrhythmias,0,0.31,0.511,0,0,0,0
Transient_cerebral_ischemia,0,0.308,0,0,0,0,0.39
Conduction_disorders,0,0.301,0,0,0.391,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.988,0,0,0,0
Asthma,0,0,0,0.672,0,0,0
Allergic_rhinitis,0,0,0,0.404,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.387,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0.371,0,0,0
Hyperplasia_of_prostate,0,0,0,0.31,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.308,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0.982,0,0
Diabetes,0.41,0,0,0,0.339,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0.3,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,1,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0.983
Anxiety_disorders,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.5,0,0,0,0,0,0
Esophageal_disorders,0.348,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0
Gout,0.305,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0.326,0,0,0,0,0,0
Hypertension,0.48,0,0,0,0,0,0
Ischemic_heart_disease,0.352,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0
Obesity,0.483,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.404,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0
Other_male_genital_disorders,0.54,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Sexual_disorders,0.35,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0
Vision_defects,0.378,0,0,0,0,0,0
