"",ML17,ML13,ML6,ML9,ML16,ML2,ML11,ML5,ML4,ML3,ML7,ML8,ML1,ML15,ML10,ML14,ML12
Congestive_heart_failure__nonhypertensive,0,0.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.459,0,0,0.326,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0.974,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0.326,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0.798,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0.372,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0.318,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0.948,0,0,0,0,0,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0,0,0.892,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0.38,0.303,0,0,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0.348,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0.953,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0.961,0,0,0,0,0,0,0,0
Conduction_disorders,0,0,0,0,0,0,0,0,0,0.941,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0.981,0,0,0,0,0,0
Allergic_rhinitis,0.498,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,1.009,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0,0,0.861,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984
Anxiety_disorders,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
