"",ML1,ML2
Menstrual_disorders,-0.247,0.78
Anxiety_disorders,0.106,0.548
Menopausal_disorders,0.229,0.523
Headache__including_migraine,0.07,0.512
Miscellaneous_mental_health_disorders,0.097,0.491
Depression_and_Mood_disorders,0.318,0.441
Thyroid_disorders,0.212,0.42
Neuropathy_and_other_nervous_system_disorders,0.262,0.419
Allergic_rhinitis,-0.034,0.375
Asthma,0.013,0.34
Vision_defects,0.216,0.28
Esophageal_disorders,0.263,0.257
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.414,0.226
Obesity,0.493,0.179
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.356,0.143
Urinary_incontinence,0.517,0.129
Osteoarthritis,0.577,0.109
Disorders_of_lipid_metabolism,0.639,0.088
Hypertension,0.777,-0.037
Cataract,0.658,-0.108
Diabetes,0.704,-0.159
